Artista,Album_Era,Ano,Guitarra_Principal,Amplificadores,Efeitos_Chave,Afinacao,Notas_de_Timbre
John Frusciante (RHCP),Blood Sugar Sex Magik,1991,"Fender Jaguar 1966, Fender Stratocaster 1958, Fender Duo-Sonic 1965","Marshall Major 200W (Model 1967), Marshall JCM800","Boss DS-2 Turbo Distortion, Ibanez WH10 Wah, Boss CE-1 Chorus Ensemble, EHX Big Muff",E Standard,"Timbre cru, percussivo e orgânico, com alta dinâmica na palhetada e captação vintage. Uso de Jaguar e Duo-Sonic para dedilhados limpos e Stratocaster nos solos."
John Frusciante (RHCP),Californication,1999,"Fender Stratocaster 1962 (Sunburst), Gretsch White Falcon 1955","Marshall Major 200W, Marshall Silver Jubilee 2555","Boss DS-2, MXR Micro Amp, Ibanez WH10 Wah, Boss CE-1 Chorus Ensemble",E Standard,"Timbre limpo no limite do breakup. Sinal saturado de forma orgânica pelos amplificadores Marshall, com o MXR Micro Amp empurrando ganho extra nos solos."
John Frusciante (RHCP),Stadium Arcadium,2006,"Fender Stratocaster 1962, Fender Telecaster 1963, Fender Stratocaster 1961 (Fiesta Red)","Marshall Major 200W, Marshall Silver Jubilee 2555","Boss DS-2, EHX English Muff'n, Holy Grail Reverb, Moogerfooger MF-101 Low Pass Filter, Boss CE-1",E Standard / Drop D,"Timbre saturado e multi-camadas. Uso ostensivo de filtros envelope Moogerfooger, reverteração e modulações expressivas em múltiplos solos sobrepostos."
Steve Vai,Passion and Warfare,1990,"Ibanez JEM777, Ibanez Universe UV7P / UV777 (7 cordas)","ADA MP-1 Tube Preamp em Marshall Power Amp, Soldano SLO-100","Eventide H3000 Ultra-Harmonizer, Boss DS-1, Dunlop Cry Baby Wah, Roland SDE-3000 Delay",E Standard / A Standard (7 cordas),Timbre de alta articulação e brilho técnico via pré-amplificador tubular ADA MP-1. Uso intensivo de pitch shifting cirúrgico (+5th/-4th) no Eventide H3000 e alavanca.
Joe Satriani,Surfing with the Alien,1987,"Kramer Pacer customizada, Protótipo Ibanez Radius (540R)","Marshall JCM800 (100W), Scholz Rockman X100 (linha)","Boss DS-1, Boss OD-1, Jim Dunlop Cry Baby Wah, Eventide H949 / H3000 Harmonizer",E Standard,Distorção encorpada e sustain longo com Boss DS-1 empurrando amplificação valvulada. Timbres limpos e cristalinos obtidos via gravação direta em linha com Scholz Rockman.
Joe Satriani,The Extremist,1992,"Ibanez JS1, Gibson Les Paul Custom","Marshall 6100 LM (30th Anniversary), Peavey 5150","Boss DS-1, Fulltone Ultimate Octave, Chandler Tube Driver, Whammy Pedal",E Standard / Eb Standard,"Timbre gordo, encorpado e altamente valvulado com fortes influências do blues e hard rock clássico, utilizando o canal de alto ganho do Marshall 6100."
David Gilmour (Pink Floyd),The Dark Side of the Moon,1973,"Fender Stratocaster 'Black Strat', Bill Lewis Custom (24 trastes)","Hiwatt DR103 Custom 100W com caixas WEM 4x12, Fender Twin Reverb","Dallas Arbiter Fuzz Face (silício BC108), Binson Echorec II, Shin-ei Uni-Vibe, Colorsound Power Boost",E Standard,Timbre espacial e sustentado. Texturas atmosféricas moldadas pelo Fuzz Face de silício BC108 combinado ao delay magnético de tambor Binson Echorec II.
David Gilmour (Pink Floyd),The Wall,1979,"Fender Stratocaster 'Black Strat', Gibson Les Paul Goldtop 1955 (P-90s)","Hiwatt DR103 100W, Yamaha RA-200 Rotary Speaker Cabinet, Pré Alembic F-2B","EHX Big Muff ('Ram's Head'), EHX Electric Mistress Flanger, MXR Digital Delay, MXR Dyna Comp",E Standard / Drop D,Solo clássico e encorpado obtido pela combinação de Big Muff Ram's Head com flanger sutil e Hiwatt limpo. Timbres funky e diretos com P-90s na mesa de som.
David Gilmour (Pink Floyd),PULSE / The Division Bell,1994,Fender Stratocaster '57 Reissue ('Red Strat' com captadores ativos EMG DG20),"Hiwatt DR103 Custom 100W, Fender Bassman '59 Reissue","Pete Cornish SS-2 / G-2, BK Butler Tube Driver, Boss CE-2, TC Electronic 2290 Delay, DigiTech Whammy II",E Standard / Drop D,"Timbre cristalino, hiper-definido e com sustain infinito, impulsionado por captadores ativos EMG com circuitos de controle de médios e sistema modular Pete Cornish."
Slash (Guns N' Roses),Appetite for Destruction,1987,1959 Les Paul Standard Replica (Kris Derrig com Seymour Duncan Alnico II Pro),Marshall Super Lead 100W Model 1959 Plexi (Modificado Tim Caswell / S.I.R. Stock #39),"Jim Dunlop Cry Baby Wah, Boss DD-3 Digital Delay, Boss GE-7 EQ",Eb Standard,"Timbre mordaz, gordo e agressivo de hard rock. Alto ganho quente obtido pelo Marshall Super Lead modificado e afinação meio tom abaixo."
Slash (Guns N' Roses),Use Your Illusion I & II,1991,"Gibson Les Paul Standard 1987 ('Jessica'), Kris Derrig '59 Replica, Gibson EDS-1275 Doubleneck","Marshall Silver Jubilee 2555 (100W), Marshall JCM800 2203","Dunlop Cry Baby Rack Wah, MXR Ten Band EQ, Boss DD-3 Digital Delay, Yamaha SPX90",Eb Standard / Drop Db,"Timbre encorpado de arena rock, variando entre violões limpos e solos épicos e sustentados no Marshall Silver Jubilee com pedal de Wah."
Eddie Van Halen (Van Halen),Van Halen I,1978,"Frankenstrat (Corpo Boogie Bodies, PAF Humbucker Gibson inclinado)",1968 Marshall Super Lead 100W 'Plexi' (com Variac em ~90V),"MXR Phase 90 (Script Logo), MXR Six-Band EQ, MXR Flanger, Univox EC-80 / Echoplex EP-3 Tape Delay",Eb Standard,"O icônico 'Brown Sound': distorção orgânica de válvulas operando no limite de saturação, Phase 90 sutil, arpejos rápidos e técnicas de tapping."
Eddie Van Halen (Van Halen),1984,1984,"Kramer 5150 (com ponte Floyd Rose e PAF humbucker), Kramer Ripley Stereo",1968 Marshall Super Lead 100W 'Plexi' (com Variac),"MXR Phase 90, MXR Flanger, Eventide H910 Harmonizer, Roland SDE-3000 Digital Delay",Eb Standard / Drop Db,"Som potente dos anos 80, com harmonias ricas, pontes flutuantes com alavanca, sustain abundante e forte integração com sintetizadores."
Mike Einziger (Incubus),S.C.I.E.N.C.E.,1997,"PRS Custom 24, Paul Reed Smith McCarty",Mesa/Boogie Tremoverb Combo 2x12,"Boss PH-2 Super Phaser, DOD FX25 Envelope Filter, Boss RV-3 Reverb/Delay, DigiTech Whammy II",Eb Standard / E Standard,"Riffs pesados com dinâmica funk e alt-metal. Uso criativo e agressivo de phaser, envelope filter e pitch shift para criar timbres percussivos e incomuns."
Mike Einziger (Incubus),Make Yourself,1999,"PRS McCarty Archtop, PRS Custom 24",Mesa/Boogie Tremoverb Combo 2x12,"Boss PH-2 Super Phaser, DOD FX25 Envelope Filter, Line 6 DL4 Delay Modeler, Boss RV-3",E Standard / Eb Standard,Contraste marcante entre dedilhados limpos/atmosféricos modulados por phaser no verso e distorção encorpada e pesada do Mesa Tremoverb no refrão.
Mike Einziger (Incubus),Morning View,2001,"Fender Jazzmaster 1963, PRS McCarty Archtop","Mesa/Boogie Tremoverb Combo 2x12, Vox AC30 Top Boost","Boss PH-2 Phaser, EHX Deluxe Memory Man, Line 6 DL4, Boss RV-3",E Standard / Drop D,"Texturas extremamente atmosféricas e orgânicas, combinando timbres vintage de Jazzmaster e Vox AC30 com delays analógicos de fita."
